DIAS,TRÊS MARIAS,BSM,FORTALEZA,JATOBÁ,ACARÁ DO TAPAJÓS,BUBURÉ,BELA VISTA
1995-11-01,519.5,390.8666666666667,372.43333333333334,390.8666666666667,402.1333333333333,487.93333333333334,395.1333333333333
1995-12-01,730.6129032258065,585.6774193548387,493.9032258064516,585.6774193548387,571.7096774193549,611.6774193548387,670.0967741935484
1996-01-01,832.7741935483871,681.8709677419355,563.8064516129032,681.8709677419355,663.9354838709677,678.8064516129032,815.258064516129
1996-02-01,859.2068965517242,702.2413793103449,579.3448275862069,702.2413793103449,691.0,698.9655172413793,854.551724137931
1996-03-01,946.0645161290323,781.7741935483871,643.0967741935484,781.7741935483871,780.5806451612904,758.3870967741935,974.6451612903226
1996-04-01,962.1666666666666,798.4,655.6666666666666,798.4,805.4333333333333,778.0666666666667,1022.2
1996-05-01,839.3548387096774,676.516129032258,579.258064516129,676.516129032258,726.0322580645161,733.8709677419355,949.0645161290323
1996-06-01,633.3333333333334,485.8333333333333,440.43333333333334,485.8333333333333,521.8333333333334,585.0,687.4666666666667
1996-07-01,513.7741935483871,380.61290322580646,369.96774193548384,380.61290322580646,414.4516129032258,501.12492357011166,536.9677419354839
1996-08-01,465.19354838709677,338.0,344.80645161290323,338.0,370.258064516129,467.83206310502993,445.06451612903226
1996-09-01,448.46666666666664,321.8333333333333,337.76666666666665,321.8333333333333,357.8,459.39376460952496,365.96666666666664
1996-10-01,479.258064516129,349.1290322580645,350.5806451612903,349.1290322580645,380.6774193548387,477.8268706845499,372.80645161290323
1996-11-01,589.8333333333334,448.2,409.8666666666667,448.2,455.6666666666667,531.3333333333334,491.5
1996-12-01,671.0645161290323,524.7096774193549,457.8709677419355,524.7096774193549,521.516129032258,577.3870967741935,599.1612903225806
1997-01-01,846.1290322580645,672.4193548387096,551.9677419354839,672.4193548387096,647.4193548387096,670.1935483870968,789.8387096774194
1997-02-01,959.8571428571429,783.6071428571429,630.9285714285714,783.6071428571429,754.0714285714286,740.0357142857143,932.3571428571429
1997-03-01,1044.3548387096773,865.0967741935484,697.483870967742,865.0967741935484,839.6451612903226,796.0645161290323,1039.1935483870968
1997-04-01,1107.4333333333334,927.9,763.6333333333333,927.9,904.3666666666667,837.5666666666667,1133.2
1997-05-01,890.4193548387096,721.4516129032259,601.6915159840796,721.4516129032259,742.6451612903226,735.6129032258065,963.9032258064516
1997-06-01,662.4333333333333,512.1666666666666,458.56936178948206,512.1666666666666,529.3,581.5,689.5
1997-07-01,537.9032258064516,400.7741935483871,381.96528589545943,400.7741935483871,425.06451612903226,505.83870967741933,536.741935483871
1997-08-01,474.61290322580646,345.1290322580645,343.5532402044451,345.1290322580645,376.96774193548384,462.5483870967742,418.1290322580645
1997-09-01,451.6333333333333,323.23333333333335,328.69660307654055,323.23333333333335,352.8,447.6333333333333,320.26666666666665
1997-10-01,450.48387096774195,319.96774193548384,326.786260701245,319.96774193548384,345.8709677419355,442.16129032258067,285.7741935483871
1997-11-01,469.8333333333333,342.03333333333336,341.24751299865306,342.03333333333336,362.3666666666667,455.1,313.5
1997-12-01,569.0322580645161,427.0,107.25806451612904,427.0,429.03225806451616,504.2258064516129,434.5483870967742
1998-01-01,600.0645161290323,453.7096774193548,410.19354838709677,453.7096774193548,468.7741935483871,538.6774193548387,508.96774193548384
1998-02-01,748.5714285714286,585.4642857142857,486.89285714285717,585.4642857142857,545.8928571428571,592.7142857142857,627.1071428571429
1998-03-01,956.0645161290323,778.258064516129,622.5806451612904,778.258064516129,716.6774193548387,707.4516129032259,841.437907757864
1998-04-01,842.1333333333333,687.1,571.7666666666667,687.1,683.1,685.7333333333333,839.6102828486632
1998-05-01,665.3548387096774,513.3548387096774,456.48387096774195,513.3548387096774,541.741935483871,594.5483870967741,675.6451612903226
1998-06-01,514.8666666666667,382.8,369.3,382.8,417.8,502.5,515.9666666666667
1998-07-01,439.8709677419355,317.93548387096774,328.3225806451613,317.93548387096774,352.96774193548384,452.38709677419354,433.80645161290323
